subject,age,gender,ntrial,memory_ori,test_ori,cue,type,trial_type,which_change,pas,pas_rt,vis,test_key,test_acc,test,test_rt,contrast,fix_dur,cue_dur,jitter_dur,target_dur,mask_dur,retention_dur,trial_dur
8,23,female,1,75,75,left,same,valid,clock,3,5.615978667227864,1,f,1,same,0.7451270626515907,0.5,0,0,0,0.3874682792402382,0,0,9.385165396981392
8,23,female,2,135,45,left,change,catch,clock,2,1.2334096256636258,1,f,0,same,1.6720038154717258,0,0,0,0,0.3874127919661987,0,0,7.515623997700459
8,23,female,3,135,85,right,change,valid,anti,1,1.1042894549800621,0,j,1,change,2.4595648514741697,0.4069419370673367,0,0,0,0.38738745384671347,0,0,6.475276089282488
8,23,female,4,45,355,left,change,valid,anti,1,1.6893565785449027,0,f,0,same,2.8087799470913524,0.5274438292530478,0,0,0,0.3874435825919136,0,0,7.665037115533778
8,23,female,5,15,65,left,change,valid,clock,2,3.4650285839652497,1,f,0,same,3.337341460348398,0.6141825392808453,0,0,0,0.38748207087519404,0,0,9.771282416756549
8,23,female,6,15,15,left,same,valid,anti,2,1.4174830459114673,1,f,1,same,0.9119388087619882,0.5833632422318545,0,0,0,0.38745897790522577,0,0,5.72522797892907
8,23,female,7,75,25,right,change,valid,anti,2,1.3214089149132633,1,j,1,change,0.8842019069661546,0.5602780180023089,0,0,0,0.38746956218255946,0,0,5.038876052333762
8,23,female,8,45,185,right,change,catch,anti,1,0.7295056308357744,0,j,1,change,2.0977021853650513,0,0,0,0,0.3874862404391024,0,0,7.249663868996322
8,23,female,9,165,115,left,change,valid,anti,2,1.8235725978820483,1,f,0,same,3.388553328081798,0.5419561274634549,0,0,0,0.38735698395612417,0,0,8.51157374739887
8,23,female,10,165,45,right,change,catch,clock,1,1.6013188010128943,0,j,1,change,2.750638264024019,0,0,0,0,0.387416640794072,0,0,9.262071529190507
8,23,female,11,165,165,right,same,valid,anti,3,1.8404368804986007,1,f,1,same,0.8769648268416859,0.5262445249515796,0,0,0,0.3874025284239906,0,0,6.076384166946809
8,23,female,12,105,105,right,same,valid,anti,2,1.377190624767536,1,f,1,same,0.7656259221148503,0.5129724195211673,0,0,0,0.38737911471798725,0,0,4.966597622963491
8,23,female,13,105,155,left,change,valid,clock,2,1.8573730079106099,1,j,1,change,0.7554576385127802,0.5005201688702173,0,0,0,0.3874445447981998,0,0,5.684456057927491
8,23,female,14,15,325,right,change,valid,anti,3,1.0734587367123822,1,j,1,change,0.6589604571381642,0.4892829332162408,0,0,0,0.3874750146896986,0,0,4.6527654472720315
8,23,female,15,165,215,left,change,valid,clock,3,1.4414368702355205,1,j,1,change,0.5838961175586519,0.4789064130853318,0,0,0,0.38733806054915476,0,0,5.306814158042471
8,23,female,16,165,115,right,change,valid,anti,2,1.1293652127505993,1,j,1,change,1.6976851222261757,0.46913441078161977,0,0,0,0.38738488796025194,0,0,5.832957965662899
8,23,female,17,165,165,right,same,valid,clock,3,1.5775131565778793,1,f,1,same,0.5743526270816801,0.45977452162725513,0,0,0,0.38742658360024507,0,0,5.550153119218521
8,23,female,18,45,105,left,same,catch,anti,1,0.6653844722877693,0,j,0,change,1.6320629206447848,0,0,0,0,0.38742369697956747,0,0,6.766776721773567
8,23,female,19,45,45,left,same,valid,anti,2,0.9122034157071539,1,f,1,same,0.8979569777975485,0.4506555062040996,0,0,0,0.3874374886136138,0,0,5.303121528036172
8,23,female,20,45,45,right,same,valid,clock,3,1.273447382667655,1,f,1,same,0.9643640196136403,0.4416327683411624,0,0,0,0.3873938685592293,0,0,5.165711301955525
8,23,female,21,105,105,left,same,valid,clock,2,4.27342268602024,1,j,0,change,1.3850239525409052,0.4325787922184049,0,0,0,0.38741150902296795,0,0,8.360860367075475
8,23,female,22,75,75,right,same,valid,clock,2,1.3853944022639553,1,f,1,same,2.676319955661711,0.42336225129687893,0,0,0,0.3874397337640403,0,0,6.87014406164235
8,23,female,23,105,105,left,same,valid,anti,2,5.721304419224907,1,f,1,same,1.396821252717018,0.41384240498684494,0,0,0,0.38735987057680177,0,0,10.156806716975552
8,23,female,24,105,55,right,change,valid,anti,3,1.177444134257712,1,j,1,change,0.5830599596129105,0.4038638314397088,0,0,0,0.38741439564455504,0,0,4.991952741520436
8,23,female,25,165,215,right,change,valid,clock,2,0.8013841027996023,1,f,0,same,2.003429626740399,0.3932605418562495,0,0,0,0.3873688511757791,0,0,5.782859050777006
8,23,female,26,135,135,right,same,valid,anti,3,1.6654495816319468,1,f,1,same,0.654409859158477,0.38187660502184595,0,0,0,0.3874185652075539,0,0,5.2656926351382936
